node_id,label,x,y,z,radius,parent_id,type
1,0,15784.0,37250.0,28062.0,10.0,-1,root
2,0,15764.0,37230.0,28082.0,18.2843,1,slab
3,0,15744.0,37190.0,28122.0,34.7214,2,slab
4,0,15744.0,37150.0,28202.0,34.7214,3,slab
5,0,15704.0,37130.0,28242.0,34.7214,4,slab
6,0,15684.0,37090.0,28342.0,46.5685,5,slab
7,0,15624.0,37050.0,28402.0,46.5685,6,slab
8,0,15484.0,36910.0,28442.0,90.0,7,slab
9,5,15159.4,36641.5,28392.9,231.297,8,branch
10,5,15144.0,36710.0,28142.0,186.977,9,branch
11,5,15250.1,36816.1,28018.2,101.22,10,branch
12,5,15284.0,36850.0,27882.0,53.2456,11,branch
13,5,15284.0,36888.5,27824.3,50.1248,12,branch
14,5,15284.0,36890.0,27728.7,41.3031,13,branch
15,5,15222.0,36830.0,27618.0,34.7214,14,branch
16,0,15184.0,36810.0,27542.0,46.5685,15,slab
17,0,15144.0,36770.0,27502.0,30.0,16,slab
18,0,15124.0,36690.0,27422.0,30.0,17,slab
19,0,15104.0,36650.0,27382.0,30.0,18,slab
20,5,15088.4,36618.9,27310.9,30.0,19,branch
21,0,15084.0,36570.0,27282.0,30.0,20,slab
22,0,15084.0,36490.0,27282.0,30.0,21,slab
23,0,15084.0,36450.0,27282.0,30.0,22,slab
24,0,15064.0,36430.0,27262.0,30.0,23,slab
25,0,15044.0,36330.0,27282.0,30.0,24,slab
26,0,15044.0,36250.0,27302.0,30.0,25,slab
27,0,15044.0,36170.0,27342.0,30.0,26,slab
28,0,15064.0,36110.0,27362.0,30.0,27,slab
29,0,15064.0,36030.0,27382.0,30.0,28,slab
30,0,15064.0,35950.0,27422.0,30.0,29,slab
31,0,15064.0,35870.0,27422.0,30.0,30,slab
32,0,15044.0,35790.0,27422.0,30.0,31,slab
33,0,15004.0,35710.0,27422.0,30.0,32,slab
34,0,14984.0,35630.0,27422.0,30.0,33,slab
35,0,14984.0,35590.0,27422.0,30.0,34,slab
36,0,14964.0,35570.0,27402.0,30.0,35,slab
37,0,14944.0,35470.0,27402.0,30.0,36,slab
38,0,14964.0,35390.0,27382.0,30.0,37,slab
39,0,14984.0,35310.0,27362.0,30.0,38,slab
40,0,15004.0,35230.0,27342.0,30.0,39,slab
41,0,15044.0,35150.0,27362.0,30.0,40,slab
42,0,15064.0,35070.0,27342.0,30.0,41,slab
43,0,15084.0,35030.0,27342.0,18.2843,42,slab
44,0,15104.0,34990.0,27322.0,30.0,43,slab
45,0,15124.0,34950.0,27322.0,18.2843,44,slab
46,0,15144.0,34910.0,27322.0,30.0,45,slab
47,0,15184.0,34830.0,27302.0,30.0,46,slab
48,0,15204.0,34790.0,27302.0,18.2843,47,slab
